parcel_id,legal_amount,closing_cost_amount,title_insurance_amount,commission_amount,total_transaction_costs,net_sale_proceeds,gross_sale_proceeds
161,,,,194459.52,244459.52,6237524.48,6481984.00
162,,,,149490.76,199490.76,4783534.44,4983025.20
163,,,,136729.35,186729.35,4370915.65,4557645.00
164,,,,339768.00,389768.00,10935832.00,11325600.00
165,,,,352836.00,402836.00,11358364.00,11761200.00
166,,,,268541.48,318541.48,8632841.12,8951382.60
167,,,,120490.02,170490.02,3845843.98,4016334.00
168,,,,123932.59,173932.59,3957153.81,4131086.40
169,,,,163694.64,213694.64,5242793.41,5456488.05
170,,,,128641.53,178641.53,4109409.37,4288050.90
171,,,,108772.31,158772.31,3466971.29,3625743.60
172,,,,102184.29,152184.29,3253958.86,3406143.15
173,,,,149610.83,199610.83,4787416.68,4987027.50
174,,,,126714.13,176714.13,4047090.27,4223804.40
175,,,,126153.45,176153.45,4028961.55,4205115.00
176,,,,197946.63,247946.63,6350274.37,6598221.00
177,,,,244613.73,294613.73,7859177.23,8153790.96
178,,,,160163.75,210163.75,5128627.95,5338791.70
179,,,,131199.59,181199.59,4192120.01,4373319.60
180,,,,444276.63,494276.63,14314944.28,14809220.91
181,,,,268292.96,318292.96,8624805.64,8943098.60
183,,,,141786.96,191786.96,4534445.04,4726232.00
184,,,,103959.90,153959.90,3311370.10,3465330.00
187,,,,1672704.00,1722704.00,54034096.00,55756800.00
188,,,,888624.00,938624.00,28682176.00,29620800.00
189,,,,1019304.00,1069304.00,32907496.00,33976800.00
190,,,,1176120.00,1226120.00,37977880.00,39204000.00
191,,,,1568160.00,1618160.00,50653840.00,52272000.00
193,,,,117779.90,167779.90,3758216.90,3925996.80
195,,,,100795.97,150795.97,3209069.63,3359865.60
196,,,,112364.74,162364.74,3583126.46,3745491.20
197,,,,51773.72,101773.72,1624016.79,1725790.50
198,,,,81523.06,131523.06,2585912.14,2717435.20
199,,,,62128.46,112128.46,1958820.14,2070948.60
200,,,,71332.67,121332.67,2256423.13,2377755.80
201,,,,84152.83,134152.83,2670941.57,2805094.40
202,,,,470448.00,520448.00,15161152.00,15681600.00
