project_id,parcel_id,legal_amount,closing_cost_amount,title_insurance_amount,commission_amount,total_transaction_costs,net_sale_proceeds,gross_sale_proceeds
152,672,,,,149490.76,199490.76,4783534.44,4983025.20
152,673,,,,339768.00,389768.00,10935832.00,11325600.00
152,674,,,,352836.00,402836.00,11358364.00,11761200.00
152,675,,,,268541.48,318541.48,8632841.12,8951382.60
152,676,,,,120490.02,170490.02,3845843.98,4016334.00
152,677,,,,123932.59,173932.59,3957153.81,4131086.40
152,678,,,,163694.64,213694.64,5242793.41,5456488.05
152,679,,,,100795.97,150795.97,3209069.63,3359865.60
152,680,,,,112364.74,162364.74,3583126.46,3745491.20
152,681,,,,51773.72,101773.72,1624016.79,1725790.50
152,682,,,,81523.06,131523.06,2585912.14,2717435.20
152,683,,,,136729.35,186729.35,4370915.65,4557645.00
152,684,,,,62128.46,112128.46,1958820.14,2070948.60
152,685,,,,71332.67,121332.67,2256423.13,2377755.80
152,686,,,,194459.52,244459.52,6237524.48,6481984.00
152,688,,,,84152.83,134152.83,2670941.57,2805094.40
152,689,,,,235224.00,285224.00,7555576.00,7840800.00
152,690,,,,126714.13,176714.13,4047090.27,4223804.40
152,691,,,,126153.45,176153.45,4028961.55,4205115.00
152,692,,,,120546.63,170546.63,3847674.37,4018221.00
152,693,,,,244613.73,294613.73,7859177.23,8153790.96
152,696,,,,160163.75,210163.75,5128627.95,5338791.70
152,697,,,,131199.59,181199.59,4192120.01,4373319.60
152,698,,,,444276.63,494276.63,14314944.28,14809220.91
152,699,,,,268292.96,318292.96,8624805.64,8943098.60
152,700,,,,141786.96,191786.96,4534445.04,4726232.00
152,704,,,,128641.53,178641.53,4109409.37,4288050.90
152,705,,,,108772.31,158772.31,3466971.29,3625743.60
152,706,,,,102184.29,152184.29,3253958.86,3406143.15
152,707,,,,91110.83,141110.83,2895916.68,3037027.50
152,708,,,,103959.90,153959.90,3311370.10,3465330.00
152,709,,,,836352.00,886352.00,26992048.00,27878400.00
152,710,,,,444312.00,494312.00,14316088.00,14810400.00
152,711,,,,509652.00,559652.00,16428748.00,16988400.00
152,712,,,,588060.00,638060.00,18963940.00,19602000.00
152,713,,,,784080.00,834080.00,25301920.00,26136000.00
152,714,,,,117779.90,167779.90,3758216.90,3925996.80
153,715,,,,149490.76,199490.76,4783534.44,4983025.20
153,716,,,,339768.00,389768.00,10935832.00,11325600.00
153,717,,,,352836.00,402836.00,11358364.00,11761200.00
153,718,,,,268541.48,318541.48,8632841.12,8951382.60
153,719,,,,120490.02,170490.02,3845843.98,4016334.00
153,720,,,,123932.59,173932.59,3957153.81,4131086.40
153,721,,,,163694.64,213694.64,5242793.41,5456488.05
153,722,,,,100795.97,150795.97,3209069.63,3359865.60
153,723,,,,112364.74,162364.74,3583126.46,3745491.20
153,724,,,,51773.72,101773.72,1624016.79,1725790.50
153,725,,,,81523.06,131523.06,2585912.14,2717435.20
153,726,,,,136729.35,186729.35,4370915.65,4557645.00
153,727,,,,62128.46,112128.46,1958820.14,2070948.60
153,728,,,,71332.67,121332.67,2256423.13,2377755.80
153,729,,,,194459.52,244459.52,6237524.48,6481984.00
153,731,,,,84152.83,134152.83,2670941.57,2805094.40
153,732,,,,235224.00,285224.00,7555576.00,7840800.00
153,733,,,,126714.13,176714.13,4047090.27,4223804.40
153,734,,,,126153.45,176153.45,4028961.55,4205115.00
153,735,,,,120546.63,170546.63,3847674.37,4018221.00
153,736,,,,244613.73,294613.73,7859177.23,8153790.96
153,739,,,,160163.75,210163.75,5128627.95,5338791.70
153,740,,,,131199.59,181199.59,4192120.01,4373319.60
153,741,,,,444276.63,494276.63,14314944.28,14809220.91
153,742,,,,268292.96,318292.96,8624805.64,8943098.60
153,743,,,,141786.96,191786.96,4534445.04,4726232.00
153,747,,,,128641.53,178641.53,4109409.37,4288050.90
153,748,,,,108772.31,158772.31,3466971.29,3625743.60
153,749,,,,102184.29,152184.29,3253958.86,3406143.15
153,750,,,,91110.83,141110.83,2895916.68,3037027.50
153,751,,,,103959.90,153959.90,3311370.10,3465330.00
153,752,,,,836352.00,886352.00,26992048.00,27878400.00
153,753,,,,444312.00,494312.00,14316088.00,14810400.00
153,754,,,,509652.00,559652.00,16428748.00,16988400.00
153,755,,,,588060.00,638060.00,18963940.00,19602000.00
153,756,,,,784080.00,834080.00,25301920.00,26136000.00
153,757,,,,117779.90,167779.90,3758216.90,3925996.80
154,758,,,,194459.52,244459.52,6237524.48,6481984.00
154,759,,,,149490.76,199490.76,4783534.44,4983025.20
154,760,,,,136729.35,186729.35,4370915.65,4557645.00
154,761,,,,339768.00,389768.00,10935832.00,11325600.00
154,762,,,,352836.00,402836.00,11358364.00,11761200.00
154,763,,,,100795.97,150795.97,3209069.63,3359865.60
154,764,,,,112364.74,162364.74,3583126.46,3745491.20
154,765,,,,51773.72,101773.72,1624016.79,1725790.50
154,766,,,,81523.06,131523.06,2585912.14,2717435.20
154,767,,,,268541.48,318541.48,8632841.12,8951382.60
154,768,,,,120490.02,170490.02,3845843.98,4016334.00
154,769,,,,123932.59,173932.59,3957153.81,4131086.40
154,770,,,,163694.64,213694.64,5242793.41,5456488.05
154,771,,,,62128.46,112128.46,1958820.14,2070948.60
154,772,,,,71332.67,121332.67,2256423.13,2377755.80
154,774,,,,84152.83,134152.83,2670941.57,2805094.40
154,775,,,,235224.00,285224.00,7555576.00,7840800.00
154,776,,,,128641.53,178641.53,4109409.37,4288050.90
154,777,,,,108772.31,158772.31,3466971.29,3625743.60
154,778,,,,102184.29,152184.29,3253958.86,3406143.15
154,779,,,,91110.83,141110.83,2895916.68,3037027.50
154,780,,,,126714.13,176714.13,4047090.27,4223804.40
154,781,,,,126153.45,176153.45,4028961.55,4205115.00
154,782,,,,120546.63,170546.63,3847674.37,4018221.00
154,783,,,,244613.73,294613.73,7859177.23,8153790.96
154,784,,,,160163.75,210163.75,5128627.95,5338791.70
154,785,,,,131199.59,181199.59,4192120.01,4373319.60
154,786,,,,444276.63,494276.63,14314944.28,14809220.91
154,787,,,,268292.96,318292.96,8624805.64,8943098.60
154,789,,,,141786.96,191786.96,4534445.04,4726232.00
