property_type,field_key,Label,Type,Required,Default,extractability,extract_policy,source_priority,scope,evidence_types,db_write_type,match_type,match_score,candidate_tables,candidate_column,db_target_example,resolved_table,resolved_column,resolution_reason,resolved,selector_json,db_target
land_development,project_name,Project Name,text,✓,—,high,propose_for_validation,doc>user>benchmark,project,offering_memorandum,column,exact,1.0,tbl_project,project_name,tbl_project.project_name,tbl_project,project_name,override_identity,True,,tbl_project.project_name
land_development,address,Address,text,✓,—,high,propose_for_validation,doc>user>benchmark,project,offering_memorandum,column,exact,1.0,tbl_project,address,tbl_project.address,tbl_project,address,override_identity,True,,tbl_project.address
land_development,city,City,text,✓,—,high,propose_for_validation,doc>user>benchmark,project,offering_memorandum,column,exact,1.0,tbl_project,city,tbl_project.city,tbl_project,city,override_identity,True,,tbl_project.city
land_development,county,County,text,✓,—,high,propose_for_validation,doc>user>benchmark,project,offering_memorandum,column,exact,1.0,tbl_project,county,tbl_project.county,tbl_project,county,override_identity,True,,tbl_project.county
land_development,state,State,text,✓,—,high,propose_for_validation,doc>user>benchmark,project,offering_memorandum,column,exact,1.0,tbl_project,state,tbl_project.state,tbl_project,state,override_identity,True,,tbl_project.state
land_development,zip_code,ZIP Code,text,✓,—,high,propose_for_validation,doc>user>benchmark,project,offering_memorandum,column,exact,1.0,tbl_project,zip_code,tbl_project.zip_code,tbl_project,zip_code,override_identity,True,,tbl_project.zip_code
land_development,description,Description,text,—,—,medium,propose_for_validation,doc>user>benchmark,project,offering_memorandum,column,exact,1.0,tbl_project,description,tbl_project.description,tbl_project,description,override_identity,True,,tbl_project.description
land_development,acres_gross,Gross Acres,decimal,✓,—,high,propose_for_validation,doc>user>benchmark,project,offering_memorandum,row_allocation,exact,1.0,tbl_acreage_allocation,acres,tbl_acreage_allocation.acres,tbl_acreage_allocation,acres,PATCHED_v3_row_allocation,True,"{""allocation_type_code"": ""gross""}",tbl_acreage_allocation.acres
land_development,acres_net_developable,Net Developable Acres,decimal,✓,—,high,propose_for_validation,doc>user>benchmark,project,offering_memorandum,row_allocation,exact,1.0,tbl_acreage_allocation,acres,tbl_acreage_allocation.acres,tbl_acreage_allocation,acres,PATCHED_v3_row_allocation,True,"{""allocation_type_code"": ""net_developable""}",tbl_acreage_allocation.acres
land_development,acres_open_space,Open Space Acres,decimal,—,—,medium,propose_for_validation,doc>user>benchmark,project,offering_memorandum,row_allocation,exact,1.0,tbl_acreage_allocation,acres,tbl_acreage_allocation.acres,tbl_acreage_allocation,acres,PATCHED_v3_row_allocation,True,"{""allocation_type_code"": ""open_space""}",tbl_acreage_allocation.acres
land_development,acres_drainage,Drainage/Retention Acres,decimal,—,—,medium,propose_for_validation,doc>user>benchmark,project,offering_memorandum,row_allocation,exact,1.0,tbl_acreage_allocation,acres,tbl_acreage_allocation.acres,tbl_acreage_allocation,acres,PATCHED_v3_row_allocation,True,"{""allocation_type_code"": ""drainage""}",tbl_acreage_allocation.acres
