field_key,base_field_key,is_disambiguated,canonical_field_key,canonical_note,alias_note,ui_section,ui_label,entity,data_type,unit_format,required,user_editable,derived,schema.table,column
account_id,account_id,False,account_id,,,Operations > Operating Expenses,,operating_expense,integer,,conditional,conditional,False,tbl_operating_expenses,account_id
acquisition_date,acquisition_date,False,acquisition_date,,,Property > MF Property Details,,property,date,,conditional,conditional,False,tbl_multifamily_property,acquisition_date
acquisition_price,acquisition_price,False,acquisition_price,,,Property > MF Property Details,,property,currency,,conditional,conditional,False,tbl_multifamily_property,acquisition_price
acres_gross,acres_gross,False,acres_gross,,,Project > Profile,,project,decimal,acres,conditional,conditional,False,tbl_project,acres_gross
actions,actions,False,actions,,,Property > Rent Roll,,,string,,conditional,conditional,False,,
actions,actions,False,actions,,,Property > Floor Plan Matrix,,,string,,conditional,conditional,False,,
address,address,False,address,,,Project > Profile,,sales_comparable,string,,conditional,conditional,False,tbl_sales_comparables,address
address,address,False,address,,,Property > Comparable Rentals,,sales_comparable,string,,conditional,conditional,False,tbl_sales_comparables,address
address,address,False,address,,,Valuation > Sales Comparables,,sales_comparable,string,,conditional,conditional,False,tbl_sales_comparables,address
adjusted_price_per_unit,adjusted_price_per_unit,False,adjusted_price_per_unit,,,,,,string,,conditional,conditional,True,,
adjustment_amount,adjustment_amount,False,adjustment_amount,,,Valuation > Adjustments,,sales_comp_adjustment,currency,,conditional,conditional,False,tbl_sales_comp_adjustments,adjustment_amount
adjustment_id,adjustment_id,False,adjustment_id,,,Valuation > Adjustments,,sales_comp_adjustment,integer,,conditional,conditional,False,tbl_sales_comp_adjustments,adjustment_id
adjustment_pct,adjustment_pct,False,adjustment_pct,,,Valuation > Adjustments,,sales_comp_adjustment,percent,,conditional,conditional,False,tbl_sales_comp_adjustments,adjustment_pct
adjustment_type_display,adjustment_type_display,False,adjustment_type_display,,,,,,string,,conditional,conditional,True,,
affordable_housing_program,affordable_housing_program,False,affordable_housing_program,,,Property > MF Property Details,,property,string,,conditional,conditional,False,tbl_multifamily_property,affordable_housing_program
ai_accepted,ai_accepted,False,ai_accepted,,,Valuation > Adjustments,,sales_comp_adjustment,boolean,,conditional,conditional,False,tbl_sales_comp_adjustments,ai_accepted
ai_adjustment_suggestion__adjustment_type,adjustment_type,True,ai_adjustment_suggestion__adjustment_type,,,Valuation > Adjustments,,ai_adjustment_suggestion,string,,conditional,conditional,False,tbl_ai_adjustment_suggestions,adjustment_type
ai_adjustment_suggestion__adjustment_type,adjustment_type,True,ai_adjustment_suggestion__adjustment_type,,,Valuation > AI Suggestions,,ai_adjustment_suggestion,string,,conditional,conditional,False,tbl_ai_adjustment_suggestions,adjustment_type
ai_adjustment_suggestion__comparable_id,comparable_id,True,ai_adjustment_suggestion__comparable_id,,,Valuation > Adjustments,,ai_adjustment_suggestion,integer,,conditional,conditional,False,tbl_ai_adjustment_suggestions,comparable_id
ai_adjustment_suggestion__comparable_id,comparable_id,True,ai_adjustment_suggestion__comparable_id,,,Valuation > AI Suggestions,,ai_adjustment_suggestion,integer,,conditional,conditional,False,tbl_ai_adjustment_suggestions,comparable_id
ai_adjustment_suggestion__comparable_id,comparable_id,True,ai_adjustment_suggestion__comparable_id,,,Property > Comparable Rentals,,ai_adjustment_suggestion,integer,,conditional,conditional,False,tbl_ai_adjustment_suggestions,comparable_id
ai_adjustment_suggestion__comparable_id,comparable_id,True,ai_adjustment_suggestion__comparable_id,,,Valuation > Sales Comparables,,ai_adjustment_suggestion,integer,,conditional,conditional,False,tbl_ai_adjustment_suggestions,comparable_id
ai_adjustment_suggestion__created_at,created_at,True,ai_adjustment_suggestion__created_at,,,Valuation > Cap Rate Comps,,ai_adjustment_suggestion,datetime,,False,False,False,tbl_ai_adjustment_suggestions,created_at
ai_adjustment_suggestion__created_at,created_at,True,ai_adjustment_suggestion__created_at,,,Valuation > Sales Comparables,,ai_adjustment_suggestion,datetime,,False,False,False,tbl_ai_adjustment_suggestions,created_at
ai_adjustment_suggestion__created_at,created_at,True,ai_adjustment_suggestion__created_at,,,Operations > Operating Expenses,,ai_adjustment_suggestion,datetime,,False,False,False,tbl_ai_adjustment_suggestions,created_at
ai_adjustment_suggestion__created_at,created_at,True,ai_adjustment_suggestion__created_at,,,Valuation > Income Approach,,ai_adjustment_suggestion,datetime,,False,False,False,tbl_ai_adjustment_suggestions,created_at
ai_adjustment_suggestion__created_at,created_at,True,ai_adjustment_suggestion__created_at,,,Property > MF Property Details,,ai_adjustment_suggestion,datetime,,False,False,False,tbl_ai_adjustment_suggestions,created_at
ai_adjustment_suggestion__created_at,created_at,True,ai_adjustment_suggestion__created_at,,,Valuation > Cost Approach,,ai_adjustment_suggestion,datetime,,False,False,False,tbl_ai_adjustment_suggestions,created_at
ai_adjustment_suggestion__created_at,created_at,True,ai_adjustment_suggestion__created_at,,,Valuation > Reconciliation,,ai_adjustment_suggestion,datetime,,False,False,False,tbl_ai_adjustment_suggestions,created_at
ai_adjustment_suggestion__created_at,created_at,True,ai_adjustment_suggestion__created_at,,,Property > Rent Roll,,ai_adjustment_suggestion,datetime,,False,False,False,tbl_ai_adjustment_suggestions,created_at
ai_adjustment_suggestion__created_at,created_at,True,ai_adjustment_suggestion__created_at,,,Property > Floor Plan Matrix,,ai_adjustment_suggestion,datetime,,False,False,False,tbl_ai_adjustment_suggestions,created_at
ai_adjustment_suggestion__created_at,created_at,True,ai_adjustment_suggestion__created_at,,,Operations > Turns,,ai_adjustment_suggestion,datetime,,False,False,False,tbl_ai_adjustment_suggestions,created_at
ai_adjustment_suggestion__created_at,created_at,True,ai_adjustment_suggestion__created_at,,,Valuation > AI Suggestions,,ai_adjustment_suggestion,datetime,,False,False,False,tbl_ai_adjustment_suggestions,created_at
ai_adjustment_suggestion__created_at,created_at,True,ai_adjustment_suggestion__created_at,,,Project > Profile,,ai_adjustment_suggestion,datetime,,False,False,False,tbl_ai_adjustment_suggestions,created_at
ai_adjustment_suggestion__created_at,created_at,True,ai_adjustment_suggestion__created_at,,,Valuation > Adjustments,,ai_adjustment_suggestion,datetime,,False,False,False,tbl_ai_adjustment_suggestions,created_at
ai_adjustment_suggestion__justification,justification,True,ai_adjustment_suggestion__justification,,,Valuation > Adjustments,,ai_adjustment_suggestion,string,,conditional,conditional,False,tbl_ai_adjustment_suggestions,justification
ai_adjustment_suggestion__justification,justification,True,ai_adjustment_suggestion__justification,,,Valuation > AI Suggestions,,ai_adjustment_suggestion,string,,conditional,conditional,False,tbl_ai_adjustment_suggestions,justification
ai_adjustment_suggestion__updated_at,updated_at,True,ai_adjustment_suggestion__updated_at,,,Operations > Operating Expenses,,ai_adjustment_suggestion,datetime,,False,False,False,tbl_ai_adjustment_suggestions,updated_at
ai_adjustment_suggestion__updated_at,updated_at,True,ai_adjustment_suggestion__updated_at,,,Valuation > Sales Comparables,,ai_adjustment_suggestion,datetime,,False,False,False,tbl_ai_adjustment_suggestions,updated_at
ai_adjustment_suggestion__updated_at,updated_at,True,ai_adjustment_suggestion__updated_at,,,Valuation > Income Approach,,ai_adjustment_suggestion,datetime,,False,False,False,tbl_ai_adjustment_suggestions,updated_at
ai_adjustment_suggestion__updated_at,updated_at,True,ai_adjustment_suggestion__updated_at,,,Property > MF Property Details,,ai_adjustment_suggestion,datetime,,False,False,False,tbl_ai_adjustment_suggestions,updated_at
ai_adjustment_suggestion__updated_at,updated_at,True,ai_adjustment_suggestion__updated_at,,,Valuation > Cost Approach,,ai_adjustment_suggestion,datetime,,False,False,False,tbl_ai_adjustment_suggestions,updated_at
ai_adjustment_suggestion__updated_at,updated_at,True,ai_adjustment_suggestion__updated_at,,,Property > Rent Roll,,ai_adjustment_suggestion,datetime,,False,False,False,tbl_ai_adjustment_suggestions,updated_at
ai_adjustment_suggestion__updated_at,updated_at,True,ai_adjustment_suggestion__updated_at,,,Property > Floor Plan Matrix,,ai_adjustment_suggestion,datetime,,False,False,False,tbl_ai_adjustment_suggestions,updated_at
ai_adjustment_suggestion__updated_at,updated_at,True,ai_adjustment_suggestion__updated_at,,,Operations > Turns,,ai_adjustment_suggestion,datetime,,False,False,False,tbl_ai_adjustment_suggestions,updated_at
ai_adjustment_suggestion__updated_at,updated_at,True,ai_adjustment_suggestion__updated_at,,,Valuation > AI Suggestions,,ai_adjustment_suggestion,datetime,,False,False,False,tbl_ai_adjustment_suggestions,updated_at
ai_adjustment_suggestion__updated_at,updated_at,True,ai_adjustment_suggestion__updated_at,,,Project > Profile,,ai_adjustment_suggestion,datetime,,False,False,False,tbl_ai_adjustment_suggestions,updated_at
